;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;ALAGOA GRANDE;Vereador;40234;JOSE ROBERTO FERREIRA;BETO MARAVILHA;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;129;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;40123;GENILSON VITORINO DA SILVA;GENILSON DA;PSB / PSB/PSL/PPS/PP/PEN/PMB/SD;122;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;10000;GEOVANDO BERNARDO DOS;VANDO DO;PRB / MUDANÇA E TRABALHO;116;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;13000;ELIVALDO CORREIA LUIS;BAR;PT / ALAGOA GRANDE UNIDA II;108;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;55455;SEVERINO JOÃO DE ALMEIDA;BIU ROCHA;PSD / MUDANÇA E TRABALHO;99;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14777;JOSÉ ANTONIO DE FREITAS;ANTONIO CARNEIRO;PTB / MUDANÇA E TRABALHO;98;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;14555;HAROLDO JOSÉ DE SOUSA MELO;HAROLDO DA VILA;PTB / MUDANÇA E TRABALHO;83;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;17444;JOMERSON DE VASCONCELOS;MESSINHO;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;73;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;23333;EDILEUZA ALVES DOS SANTOS;EDILEUZA OLIVEIRA;PPS / PSB/PSL/PPS/PP/PEN/PMB/SD;68;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;17000;ANDRE GUEDES DE OLIVEIRA;ANDRE GUEDES;PSL / PSB/PSL/PPS/PP/PEN/PMB/SD;68;Suplente
;2016;1º Turno;ALAGOA GRANDE;Vereador;22555;JOSINALDO DANTAS DA SILVA;DUDU DE JOSA;PR / ALAGOA GRANDE UNIDA II;66;Suplente
