COD_MUNICIPIO_TSE;UF;MUNICIPIO;ELEITORADO APTO;FEMININO;MASCULINO;NÃO INFORMADO;16 ANOS;17 ANOS;18 A 20 ANOS;21 A 24 ANOS;25 A 34 ANOS;35 A 44 ANOS;45 A 59 ANOS;60 A 69 ANOS;70 A 79 ANOS;SUPERIOR A 79 ANOS;INVÁLIDA
86916;RS;HORIZONTINA;15344;7999;7345;0;50;102;663;1166;3051;2872;3857;2098;1060;425;0
86800;RS;HULHA NEGRA;4516;2217;2299;0;53;96;268;387;865;835;1208;506;230;68;0
86959;RS;HUMAITÁ;3932;2054;1878;0;36;53;177;258;605;581;1188;667;272;95;0
84972;RS;IBARAMA;3759;1817;1942;0;59;74;183;307;773;705;887;483;221;67;0
86975;RS;IBIAÇÁ;3958;2030;1928;0;35;44;154;260;672;560;1118;617;331;167;0
86991;RS;IBIRAIARAS;5297;2639;2658;0;26;85;279;398;895;835;1463;752;421;143;0
84964;RS;IBIRAPUITÃ;3449;1695;1754;0;44;73;222;290;644;533;844;437;272;90;0
87017;RS;IBIRUBÁ;16454;8483;7971;0;52;140;789;1199;3320;2858;4127;2089;1216;664;0
87033;RS;IGREJINHA;26371;13560;12811;0;107;205;1331;2243;5991;5379;6984;2465;1159;507;0
87050;RS;IJUÍ;64189;33850;30339;0;177;404;3119;5007;12969;11861;16133;7910;4259;2350;0
87076;RS;ILÓPOLIS;3433;1731;1702;0;29;41;173;281;636;565;849;481;247;131;0
85685;RS;IMBÉ;17594;9271;8323;0;65;169;826;1325;3256;3053;4410;2791;1316;383;0
85782;RS;IMIGRANTE;2614;1315;1299;0;10;18;89;144;452;431;655;405;295;115;0
87092;RS;INDEPENDÊNCIA;5376;2653;2723;0;65;76;302;412;910;840;1488;836;359;88;0
86827;RS;INHACORÁ;2048;986;1062;0;36;27;135;156;377;342;525;277;133;40;0
84999;RS;IPÊ;5143;2500;2643;0;32;61;266;318;896;819;1481;797;387;86;0
85243;RS;IPIRANGA DO SUL;1873;937;936;0;17;17;82;134;333;287;523;265;164;51;0
87114;RS;IRAÍ;6257;3180;3077;0;24;62;317;490;1079;974;1606;922;541;242;0
88382;RS;ITAARA;3756;1875;1881;0;21;36;202;326;654;651;1001;538;246;81;0
85901;RS;ITACURUBI;2637;1293;1344;0;30;41;143;158;380;423;771;387;219;85;0
