;Eleição;Localidade;Cargo;Eleitorado;Comparecimento;Abstenção;Abst. Percentual
;2016 - 1º Turno;SÃO SEBASTIÃO DO UMBUZEIRO;Prefeito;2834;2712;122;4,30
;2016 - 1º Turno;SÃO SEBASTIÃO DO UMBUZEIRO;Vereador;2834;2712;122;4,30
;2016 - 1º Turno;SÃO VICENTE DO SERIDÓ;Prefeito;7964;6938;1026;12,88
;2016 - 1º Turno;SÃO VICENTE DO SERIDÓ;Vereador;7964;6938;1026;12,88
;2016 - 1º Turno;SAPÉ;Prefeito;38959;29227;9732;24,98
;2016 - 1º Turno;SAPÉ;Vereador;38959;29227;9732;24,98
;2016 - 1º Turno;SERRA BRANCA;Prefeito;9559;8581;978;10,23
;2016 - 1º Turno;SERRA BRANCA;Vereador;9559;8581;978;10,23
;2016 - 1º Turno;SERRA DA RAIZ;Prefeito;2537;2313;224;8,83
;2016 - 1º Turno;SERRA DA RAIZ;Vereador;2537;2313;224;8,83
;2016 - 1º Turno;SERRA GRANDE;Prefeito;3170;2968;202;6,37
;2016 - 1º Turno;SERRA GRANDE;Vereador;3170;2968;202;6,37
;2016 - 1º Turno;SERRA REDONDA;Prefeito;6653;5246;1407;21,15
;2016 - 1º Turno;SERRA REDONDA;Vereador;6653;5246;1407;21,15
;2016 - 1º Turno;SERRARIA;Prefeito;4786;3778;1008;21,06
;2016 - 1º Turno;SERRARIA;Vereador;4786;3778;1008;21,06
;2016 - 1º Turno;SERTÃOZINHO;Prefeito;4279;3618;661;15,45
;2016 - 1º Turno;SERTÃOZINHO;Vereador;4279;3618;661;15,45
;2016 - 1º Turno;SOBRADO;Prefeito;7287;5971;1316;18,06
;2016 - 1º Turno;SOBRADO;Vereador;7287;5971;1316;18,06
;2016 - 1º Turno;SOLÂNEA;Prefeito;22747;16592;6155;27,06
;2016 - 1º Turno;SOLÂNEA;Vereador;22747;16592;6155;27,06
;2016 - 1º Turno;SOLEDADE;Prefeito;10328;9401;927;8,98
;2016 - 1º Turno;SOLEDADE;Vereador;10328;9401;927;8,98
;2016 - 1º Turno;SOSSÊGO;Prefeito;3109;2721;388;12,48
;2016 - 1º Turno;SOSSÊGO;Vereador;3109;2721;388;12,48
;2016 - 1º Turno;SOUSA;Prefeito;43564;40766;2798;6,42
;2016 - 1º Turno;SOUSA;Vereador;43564;40766;2798;6,42
;2016 - 1º Turno;SUMÉ;Prefeito;12142;10858;1284;10,57
;2016 - 1º Turno;SUMÉ;Vereador;12142;10858;1284;10,57
;2016 - 1º Turno;TACIMA;Prefeito;7818;6374;1444;18,47
;2016 - 1º Turno;TACIMA;Vereador;7818;6374;1444;18,47
;2016 - 1º Turno;TAPEROÁ;Prefeito;10176;9094;1082;10,63
;2016 - 1º Turno;TAPEROÁ;Vereador;10176;9094;1082;10,63
