UF;Município;Limite de Gasto Prefeito 1º Turno;Limite de Gasto Prefeito 2º Turno;Limite de Gasto Vereador;Limite Contratação Prefeito;Limite Contratação Vereador;Eleitorado Apto 
MG;GLAUCILÂNDIA;108039,06;-;10803,91;37;19;3676 
MG;GOIABEIRA;108039,06;-;10803,91;32;16;3183 
MG;GOIANÁ;108039,06;-;10803,91;40;20;3952 
MG;GONÇALVES;108039,06;-;10803,91;39;20;3905 
MG;GONZAGA;108039,06;-;10803,91;48;24;4827 
MG;GOUVEIA;108039,06;-;10803,91;107;54;10740 
MG;GOVERNADOR VALADARES;1759252,77;527775,83;1407063,94;474;237;203794 
MG;GRÃO MOGOL;203183,32;-;10803,91;122;61;12201 
MG;GRUPIARA;108039,06;-;10803,91;16;8;1590 
MG;GUANHÃES;198467,67;-;10803,91;247;124;24680 
MG;GUAPÉ;208313,48;-;10803,91;107;54;10685 
MG;GUARACIABA;108039,06;-;10803,91;85;43;8453 
MG;GUARACIAMA;108039,06;-;10803,91;46;23;4551 
MG;GUARANÉSIA;108039,06;-;16030,66;154;77;15355 
MG;GUARANI;108039,06;-;10803,91;73;37;7288 
MG;GUARARÁ;108039,06;-;10803,91;36;18;3605 
MG;GUARDA-MOR;108039,06;-;10803,91;60;30;6044 
MG;GUAXUPÉ;188750,92;-;10803,91;308;154;38356 
MG;GUIDOVAL;108039,06;-;10803,91;59;30;5894 
MG;GUIMARÂNIA;108039,06;-;10803,91;66;33;6645 
MG;GUIRICEMA;108039,06;-;10803,91;72;36;7219 
MG;GURINHATÃ;108039,06;-;10803,91;54;27;5386 
MG;HELIODORA;108039,06;-;10803,91;52;26;5196 
MG;IAPU;108039,06;-;10803,91;85;43;8535 
MG;IBERTIOGA;108039,06;-;10803,91;48;24;4839 
MG;IBIÁ;108039,06;-;21163,84;175;88;17531 
MG;IBIAÍ;235958,17;-;17007,30;66;33;6606 
MG;IBIRACATU;108039,06;-;10803,91;60;30;6003 
MG;IBIRACI;108039,06;-;10803,91;91;46;9064 
MG;IBIRITÉ;1776969,92;-;110241,62;380;190;110476 
MG;IBITIÚRA DE MINAS;108039,06;-;10803,91;31;16;3146 
MG;IBITURUNA;108039,06;-;10803,91;26;13;2598 
MG;ICARAÍ DE MINAS;139152,43;-;16845,31;79;40;7901 
MG;IGARAPÉ;172121,18;-;14072,55;282;141;28165 
MG;IGARATINGA;108039,06;-;10803,91;75;38;7470 
MG;IGUATAMA;108039,06;-;10803,91;67;34;6737 
MG;IJACI;108039,06;-;10803,91;52;26;5198 
MG;ILICÍNEA;108039,06;-;10803,91;97;49;9686 
MG;IMBÉ DE MINAS;108039,06;-;10803,91;62;31;6185 
MG;INCONFIDENTES;108039,06;-;10803,91;65;33;6454 
MG;INDAIABIRA;108039,06;-;10803,91;65;33;6481 
MG;INDIANÓPOLIS;108039,06;-;10803,91;49;25;4906 
MG;INGAÍ;108039,06;-;10803,91;30;15;3018 
MG;INHAPIM;224347,46;-;15699,94;200;100;19986 
MG;INHAÚMA;108039,06;-;10803,91;54;27;5396 
MG;INIMUTABA;108039,06;-;10803,91;60;30;6045 
MG;IPABA;108039,06;-;10803,91;143;72;14297 
MG;IPANEMA;108039,06;-;26137,45;152;76;15183 
MG;IPATINGA;1509997,11;-;100926,57;453;227;183169 
MG;IPIAÇU;108039,06;-;10803,91;36;18;3580 
MG;IPUIÚNA;108039,06;-;10803,91;78;39;7769 
MG;IRAÍ DE MINAS;108039,06;-;10803,91;55;28;5501 
MG;ITABIRA;724566,27;-;45420,47;360;180;89768 
MG;ITABIRINHA;178718,92;-;10803,91;89;45;8892 
MG;ITABIRITO;682335,84;-;16489,22;309;155;39486 
MG;ITACAMBIRA;108039,06;-;10803,91;49;25;4934 
MG;ITACARAMBI;181323,51;-;23925,55;137;69;13689 
MG;ITAGUARA;108039,06;-;10803,91;100;50;9961 
MG;ITAIPÉ;108039,06;-;10803,91;88;44;8777 
MG;ITAJUBÁ;427676,74;-;10803,91;342;171;71828 
MG;ITAMARANDIBA;247994,66;-;13390,17;243;122;24323 
MG;ITAMARATI DE MINAS;108039,06;-;10803,91;38;19;3762 
MG;ITAMBACURI;173002,64;-;26343,90;185;93;18485 
MG;ITAMBÉ DO MATO DENTRO;108039,06;-;10803,91;26;13;2591 
MG;ITAMOGI;108039,06;-;10803,91;95;48;9490 
MG;ITAMONTE;108039,06;-;10803,91;113;57;11301 
MG;ITANHANDU;108039,06;-;10803,91;121;61;12050 
MG;ITANHOMI;190885,44;-;10803,91;102;51;10203 
MG;ITAOBIM;108039,06;-;24336,77;169;85;16882 
MG;ITAPAGIPE;176539,19;-;20364,69;103;52;10292 
MG;ITAPECERICA;157318,48;-;10803,91;176;88;17550 
MG;ITAPEVA;108039,06;-;10803,91;71;36;7105 
MG;ITATIAIUÇU;108039,06;-;10803,91;94;47;9438 
MG;ITAÚ DE MINAS;108039,06;-;10803,91;127;64;12660 
MG;ITAÚNA;737392,45;-;90802,17;338;169;68004 
MG;ITAVERAVA;108039,06;-;10803,91;58;29;5754 
MG;ITINGA;108039,06;-;14518,07;114;57;11432 
MG;ITUETA;108039,06;-;10803,91;46;23;4590 
MG;ITUIUTABA;387801,41;-;78873,06;348;174;77519 
MG;ITUMIRIM;108039,06;-;10803,91;59;30;5928 
MG;ITURAMA;415919,00;-;18049,25;292;146;29212 
MG;ITUTINGA;108039,06;-;10803,91;38;19;3786 
MG;JABOTICATUBAS;108039,06;-;16638,24;137;69;13737 
MG;JACINTO;108039,06;-;10803,91;91;46;9137 
MG;JACUÍ;108039,06;-;10803,91;65;33;6501 
MG;JACUTINGA;620112,35;-;23485,46;179;90;17922 
MG;JAGUARAÇU;108039,06;-;10803,91;31;16;3091 
MG;JAÍBA;108039,06;-;10803,91;235;118;23463 
MG;JAMPRUCA;108039,06;-;10803,91;42;21;4173 
MG;JANAÚBA;464392,81;-;18516,73;321;161;51111 
MG;JANUÁRIA;108039,06;-;45489,11;319;160;48816 
MG;JAPARAÍBA;108039,06;-;10803,91;34;17;3374 
MG;JAPONVAR;108039,06;-;10803,91;81;41;8142 
MG;JECEABA;108039,06;-;10803,91;59;30;5908 
MG;JENIPAPO DE MINAS;108039,06;-;10803,91;59;30;5942 
MG;JEQUERI;108039,06;-;10803,91;104;52;10390 
MG;JEQUITAÍ;108039,06;-;10803,91;70;35;6970 
MG;JEQUITIBÁ;108039,06;-;10803,91;57;29;5687 
MG;JEQUITINHONHA;169963,50;-;10803,91;182;91;18152 
MG;JESUÂNIA;108039,06;-;10803,91;43;22;4286 
MG;JOAÍMA;308886,61;-;14468,73;112;56;11198 
MG;JOANÉSIA;108039,06;-;10803,91;51;26;5078 
MG;JOÃO MONLEVADE;289976,04;-;40365,42;329;165;59074 
MG;JOÃO PINHEIRO;421211,02;-;32124,25;307;154;36993 
MG;JOAQUIM FELÍCIO;108039,06;-;10803,91;33;17;3314 
MG;JORDÂNIA;161002,33;-;10803,91;82;41;8173 
MG;JOSÉ GONÇALVES DE MINAS;108039,06;-;10803,91;40;20;4028 
MG;JOSÉ RAYDAN;135797,91;-;10803,91;44;22;4365 
MG;JOSENÓPOLIS;108039,06;-;10803,91;38;19;3808 
MG;JUATUBA;108039,06;-;17163,01;203;102;20343 
MG;JUIZ DE FORA;3214227,08;964268,12;253636,65;665;333;395425 
MG;JURAMENTO;108039,06;-;10803,91;42;21;4243 
MG;JURUAIA;108039,06;-;10803,91;81;41;8072 
MG;JUVENÍLIA;108039,06;-;10803,91;57;29;5743 
MG;LADAINHA;236792,23;-;15967,21;127;64;12706 
MG;LAGAMAR;108039,06;-;10803,91;65;33;6543 
MG;LAGOA DA PRATA;141524,11;-;22074,88;305;153;34614 
MG;LAGOA DOS PATOS;108039,06;-;10803,91;40;20;3994 
MG;LAGOA DOURADA;108039,06;-;10803,91;97;49;9706 
MG;LAGOA FORMOSA;108039,06;-;13801,93;137;69;13727 
MG;LAGOA GRANDE;108039,06;-;10803,91;72;36;7191 
MG;LAGOA SANTA;1622269,74;-;225619,93;312;156;42432 
MG;LAJINHA;146226,59;-;10803,91;159;80;15944 
MG;LAMBARI;108039,06;-;10803,91;165;83;16455 
MG;LAMIM;108039,06;-;10803,91;34;17;3398 
MG;LARANJAL;108039,06;-;10803,91;57;29;5684 
MG;LASSANCE;108039,06;-;10803,91;60;30;5994 
MG;LAVRAS;691817,66;-;33718,57;341;171;71345 
MG;LEANDRO FERREIRA;108039,06;-;10803,91;33;17;3302 
MG;LEME DO PRADO;108039,06;-;10803,91;41;21;4109 
MG;LEOPOLDINA;191503,92;-;10803,91;311;156;40502 
MG;LIBERDADE;108039,06;-;10803,91;44;22;4428 
MG;LIMA DUARTE;108039,06;-;10803,91;140;70;14004 
MG;LIMEIRA DO OESTE;108039,06;-;10803,91;57;29;5664 
MG;LONTRA;108039,06;-;10803,91;80;40;7981 
MG;LUISBURGO;108039,06;-;10803,91;54;27;5436 
