;Ano;Turno;Localidade;Cargo;Nº;Candidato;Nome Urna;Partido / Coligação;Votação;Situação
;2016;1º Turno;AMPARO;Vereador;14111;FRANCISCO FERNANDES DE ARAUJO FILHO;FERNANDO DE JANDIRA;PTB / AMPARO DE TODOS, AGORA CADA VEZ MELHOR I;115;Eleito por média
;2016;1º Turno;AMPARO;Vereador;22123;EDVALDO DIVINO FERREIRA;EDIVALDO CACHIADO;PR / AMPARO DE TODOS, AGORA CADA VEZ MELHOR II;90;Eleito por média
;2016;1º Turno;APARECIDA;Prefeito;55;JULIO CESAR QUEIROGA DE ARAÚJO;JULIO CESAR;PSD / A VONTADE DO POVO;2.911;Eleito
;2016;1º Turno;APARECIDA;Vereador;65123;JOAO RABELO DE SA NETO;JOAO NETO;PC do B / AVANÇA APARECIDA A MUDANÇA É AGORA;705;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;55111;FLADISON PEREIRA DE ARAUJO;FLADIN DE CHICO DE SANTA;PSD / A VONTADE DO POVO;430;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;55888;CICERO FABIO DE SOUSA ALVARENGA;NEGÃO MACHADO;PSD / A VONTADE DO POVO;408;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;22210;FRANCISCO CARLOS CASIMIRO;CHICO DA ABA;PR / AVANÇA APARECIDA A MUDANÇA É AGORA;338;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;55566;FRANCISCA SEVERINA DA SILVA;TITINHA;PSD / A VONTADE DO POVO;329;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;22222;DAMIAO NORVINO DA SILVA;DAMIAO DE DONA RITA;PR / AVANÇA APARECIDA A MUDANÇA É AGORA;327;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;45789;JUCILANIA QUEIROGA PIRES;LAINHA;PSDB / A VONTADE DO POVO;325;Eleito por QP
;2016;1º Turno;APARECIDA;Vereador;55555;ANTONIO FERREIRA BARBOSA;ANTONIO BARBOSA;PSD / A VONTADE DO POVO;310;Eleito por média
;2016;1º Turno;APARECIDA;Vereador;12345;FRANCINALDO PIRES DA SILVA;DIDI DE PIRES;PDT / AVANÇA APARECIDA A MUDANÇA É AGORA;284;Eleito por QP
;2016;1º Turno;ARAÇAGI;Prefeito;40;MURILIO DA SILVA NUNES;MURILIO NUNES;PSB / A MUDANÇA ESTÁ EM SUAS MÃOS.;6.158;Eleito
;2016;1º Turno;ARAÇAGI;Vereador;10555;ANTONIO EDUARDO DANTAS DE PONTES;EDUARDO CASQUINHA;PRB / UNIDOS PELO BEM DE ARAÇAGI;782;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;10123;WILLIAM GONZAGA DA SILVA;WILLIAM DE BAJOLA;PRB / UNIDOS PELO BEM DE ARAÇAGI;707;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;45699;GIVALDO JOSÉ DE OLIVEIRA;GIVALDO PORFÍRIO;PSDB / A MUDANÇA ESTÁ EM SUAS MÃOS.;644;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;40111;JÂNIO ALVES DOS SANTOS;DANDINHA DE CANAFISTINHA;PSB / A MUDANÇA ESTÁ EM SUAS MÃOS.;602;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;40123;JOSE DE ARIMATEIA BARBOSA DE LIMA;LÉIA DE CANAFÍSTULA;PSB / A MUDANÇA ESTÁ EM SUAS MÃOS.;572;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;28000;HUMBERTO GERONIMO DOS SANTOS;BETO MARIANO;PRTB / UNIDOS PELO BEM DE ARAÇAGI;533;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;70123;WELLINTON RIBEIRO DA SILVA;WELLINTON DE BIDA;PT do B / A MUDANÇA ESTÁ EM SUAS MÃOS.;517;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;40789;JANDILSON FIGUEIREDO DE LIMA;JANDILSON FIGUEIREDO;PSB / A MUDANÇA ESTÁ EM SUAS MÃOS.;502;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;22000;ANA CRISTINA FIDELIS PORFIRIO;NENA IRMÃ TOINHO DO EMPRÉSTIMO;PR / A MUDANÇA ESTÁ EM SUAS MÃOS.;481;Eleito por QP
;2016;1º Turno;ARAÇAGI;Vereador;22222;GERALDO PESSOA DE BRITO NETO;NETO PESSOA;PR / A MUDANÇA ESTÁ EM SUAS MÃOS.;465;Eleito por média
;2016;1º Turno;ARAÇAGI;Vereador;23456;ROZIL ZACARIAS DE SOUZA;ROZIL;PPS / UNIDOS PELO BEM DE ARAÇAGI;325;Eleito por QP
