"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"VITORINO";"5.081";"5.081";"4.484";"597";"19";"19"
"SANTO AMARO DAS BROTAS";"7.570";"7.570";"6.792";"778";"28";"28"
"NIQUELÂNDIA";"29.763";"29.763";"25.375";"4.388";"98";"98"
"AQUIRAZ";"45.139";"45.139";"41.407";"3.732";"154";"154"
"CRISTÁLIA";"4.827";"4.827";"4.182";"645";"15";"15"
"SÃO JOSÉ DO DIVINO";"8.024";"8.024";"6.727";"1.297";"26";"26"
"SÃO DOMINGOS DAS DORES";"5.203";"5.203";"4.737";"466";"14";"14"
"BRASILÂNDIA";"9.453";"9.453";"7.494";"1.959";"29";"29"
"BARRA BONITA";"32.187";"32.187";"26.666";"5.521";"89";"89"
"CALDAS NOVAS";"52.236";"52.236";"42.902";"9.334";"142";"142"
"NOVO HORIZONTE DO NORTE";"2.979";"2.979";"2.665";"314";"6";"6"
"EMILIANÓPOLIS";"2.620";"2.620";"2.427";"193";"8";"8"
"JANUÁRIA";"48.046";"48.046";"34.875";"13.171";"177";"177"
"CAMPO DO MEIO";"9.964";"9.964";"8.447";"1.517";"28";"28"
"FILADÉLFIA";"20.270";"20.270";"16.436";"3.834";"69";"69"
"PATU";"8.929";"8.929";"8.100";"829";"26";"26"
"AREIA";"19.253";"19.253";"15.319";"3.934";"52";"52"
"AREIA DE BARAÚNAS";"1.927";"1.927";"1.706";"221";"7";"7"
"INÁCIO MARTINS";"8.153";"8.153";"7.350";"803";"37";"37"
"MACAÍBA";"41.155";"41.155";"38.717";"2.438";"147";"147"
"PINTÓPOLIS";"6.130";"6.130";"4.863";"1.267";"25";"25"
"AREAL";"9.143";"9.143";"8.219";"924";"28";"28"
"SÍTIO DO MATO";"9.884";"9.884";"8.036";"1.848";"28";"28"
"KALORÉ";"3.798";"3.798";"3.430";"368";"14";"14"
"SALES";"4.544";"4.544";"3.994";"550";"12";"12"
"BOM JESUS DO AMPARO";"4.275";"4.275";"4.115";"160";"14";"14"
"SERRA NEGRA DO NORTE";"6.311";"6.311";"5.593";"718";"21";"21"
"LAGO VERDE";"11.734";"11.734";"9.477";"2.257";"43";"43"
"DORES DO RIO PRETO";"5.106";"5.106";"4.885";"221";"21";"21"
"CAPIXABA";"7.366";"7.366";"6.114";"1.252";"28";"28"
"SANTA TEREZA DO TOCANTINS";"2.431";"2.431";"2.202";"229";"9";"9"
"UBARANA";"4.391";"4.391";"3.792";"599";"12";"12"
"SANTÓPOLIS DO AGUAPEÍ";"3.338";"3.338";"2.952";"386";"10";"10"
"CONCEIÇÃO DAS ALAGOAS";"17.661";"17.661";"15.229";"2.432";"52";"52"
"DUMONT";"6.357";"6.357";"5.524";"833";"17";"17"
"SEROPÉDICA";"52.873";"52.873";"44.906";"7.967";"147";"147"
"CATOLÂNDIA";"3.337";"3.337";"3.104";"233";"13";"13"
"ABARÉ";"11.520";"11.520";"10.467";"1.053";"38";"38"
"CRICIÚMA";"139.613";"139.613";"120.097";"19.516";"382";"382"
"SOMBRIO";"20.085";"20.085";"17.747";"2.338";"53";"53"
"JAGUARUANA";"27.210";"27.210";"23.696";"3.514";"92";"92"
"ICATU";"19.797";"19.797";"16.639";"3.158";"77";"77"
"ITU";"117.400";"117.400";"96.595";"20.805";"310";"310"
"TAQUARIVAÍ";"4.864";"4.864";"3.914";"950";"15";"15"
"CANAÃ";"3.943";"3.943";"3.628";"315";"17";"17"
"TENENTE PORTELA";"10.212";"10.212";"8.503";"1.709";"40";"40"
"JOAÇABA";"21.237";"21.237";"18.034";"3.203";"62";"62"
"SERTÂNIA";"23.957";"23.957";"20.310";"3.647";"86";"86"
"SÃO JOÃO DO ITAPERIÚ";"3.077";"3.077";"2.881";"196";"10";"10"
"APIACÁ";"6.543";"6.543";"5.387";"1.156";"19";"19"
"CUMARI";"2.561";"2.561";"2.318";"243";"8";"8"
"BENEDITO LEITE";"3.474";"3.474";"3.265";"209";"16";"16"
"SÃO SEBASTIÃO DO UMBUZEIRO";"2.902";"2.902";"2.603";"299";"12";"12"
"ZABELÊ";"1.959";"1.959";"1.763";"196";"8";"8"
"DOM AQUINO";"6.285";"6.285";"5.342";"943";"20";"20"
"BOM JESUS DO NORTE";"8.478";"8.478";"7.092";"1.386";"26";"26"
"UNAÍ";"57.890";"57.890";"47.239";"10.651";"169";"169"
"ASSIS CHATEAUBRIAND";"24.683";"24.683";"21.268";"3.415";"94";"94"
"UNIÃO DA SERRA";"1.603";"1.603";"1.532";"71";"6";"6"
"INGAZEIRA";"3.863";"3.863";"3.351";"512";"12";"12"
"BODÓ";"3.012";"3.012";"2.650";"362";"8";"8"
"JARAGUARI";"5.605";"5.605";"4.822";"783";"16";"16"
"PRESIDENTE VENCESLAU";"29.312";"29.312";"23.080";"6.232";"83";"83"
"VIRGÍNIA";"7.063";"7.063";"5.948";"1.115";"27";"27"
"PATO BRANCO";"53.361";"53.361";"44.922";"8.439";"169";"169"
"MESQUITA";"135.913";"135.913";"113.601";"22.312";"377";"377"
"ENTRE FOLHAS";"5.491";"5.491";"4.826";"665";"15";"15"
"BURITI";"19.538";"19.538";"14.988";"4.550";"73";"73"
"VICENTINA";"4.629";"4.629";"4.497";"132";"17";"17"
"MARAGOGI";"16.095";"16.095";"15.088";"1.007";"56";"56"
"MIRAÍ";"10.260";"10.260";"8.988";"1.272";"39";"39"
"IPANEMA";"15.292";"15.292";"13.490";"1.802";"44";"44"
"CONFINS";"5.425";"5.425";"5.020";"405";"17";"17"
"PAQUETÁ";"3.684";"3.684";"3.178";"506";"17";"17"
"ACAUÃ";"5.232";"5.232";"4.786";"446";"18";"18"
"CAARAPÓ";"17.814";"17.814";"15.146";"2.668";"59";"59"
"LAGOA DE SÃO FRANCISCO";"4.938";"4.938";"3.917";"1.021";"17";"17"
"MAUÉS";"28.782";"28.782";"22.576";"6.206";"88";"88"
"MANAQUIRI";"12.147";"12.147";"10.286";"1.861";"32";"32"
"SANTANA DO MUNDAÚ";"6.750";"6.750";"6.248";"502";"25";"25"
"ITATIAIUÇU";"8.226";"8.226";"7.171";"1.055";"25";"25"
"CRUZ ALTA";"49.041";"49.041";"38.946";"10.095";"143";"143"
"SIMOLÂNDIA";"5.746";"5.746";"4.771";"975";"19";"19"
"LARANJA DA TERRA";"9.560";"9.560";"8.441";"1.119";"30";"30"
"ARRAIAS";"8.630";"8.630";"6.784";"1.846";"24";"24"
"MONTE CARLO";"7.216";"7.216";"6.238";"978";"22";"22"
"LAJES";"8.861";"8.861";"7.759";"1.102";"32";"32"
"BOM JESUS DE GOIÁS";"15.342";"15.342";"12.879";"2.463";"41";"41"
"ESPERANÇA";"24.615";"24.615";"19.955";"4.660";"73";"73"
"RECREIO";"7.787";"7.787";"6.835";"952";"30";"30"
"COQUEIROS DO SUL";"2.355";"2.355";"2.251";"104";"11";"11"
"MONTE NEGRO";"11.329";"11.329";"8.981";"2.348";"31";"31"
"FRUTAL";"39.082";"39.082";"32.739";"6.343";"109";"109"
"RIO LARGO";"45.832";"45.832";"41.644";"4.188";"149";"149"
"PLANALTO DA SERRA";"2.288";"2.288";"2.046";"242";"6";"6"
"LAGAMAR";"6.484";"6.484";"5.850";"634";"20";"20"
"VIGIA";"33.220";"33.220";"27.084";"6.136";"114";"114"
"AVELINO LOPES";"8.483";"8.483";"6.850";"1.633";"29";"29"
"FREI GASPAR";"4.903";"4.903";"4.106";"797";"14";"14"
"CAMPO ALEGRE DE LOURDES";"21.495";"21.495";"15.928";"5.567";"77";"77"
"BOM RETIRO DO SUL";"9.703";"9.703";"8.766";"937";"29";"29"
"RONDA ALTA";"7.521";"7.521";"6.915";"606";"26";"26"
"INHACORÁ";"2.192";"2.192";"2.038";"154";"8";"8"
"PEIXOTO DE AZEVEDO";"18.063";"18.063";"14.678";"3.385";"37";"37"
"MINADOR DO NEGRÃO";"3.629";"3.629";"3.353";"276";"14";"14"
"ÁGUAS LINDAS DE GOIÁS";"69.132";"69.132";"57.982";"11.150";"185";"185"
"TEJUÇUOCA";"14.327";"14.327";"12.678";"1.649";"49";"49"
"IPAUMIRIM";"9.184";"9.184";"7.863";"1.321";"32";"32"
"QUISSAMÃ";"16.546";"16.546";"15.145";"1.401";"46";"46"
"ANGICAL";"11.820";"11.820";"10.524";"1.296";"47";"47"
"SÃO JOSÉ DOS QUATRO MARCOS";"14.909";"14.909";"11.799";"3.110";"33";"33"
"ELDORADO";"21.225";"21.225";"16.640";"4.585";"77";"77"
"SENADOR CORTES";"2.625";"2.625";"2.450";"175";"8";"8"
"DIAS D'ÁVILA";"41.556";"41.556";"34.402";"7.154";"111";"111"
"CRISSIUMAL";"11.381";"11.381";"10.278";"1.103";"55";"55"
"JAUPACI";"2.938";"2.938";"2.751";"187";"11";"11"
"IPUMIRIM";"5.712";"5.712";"5.405";"307";"21";"21"
"ARAQUARI";"16.294";"16.294";"14.239";"2.055";"44";"44"
"SOLÂNEA";"22.740";"22.740";"16.265";"6.475";"71";"71"
"MORRO DO CHAPÉU";"22.716";"22.716";"18.732";"3.984";"85";"85"
"ABRE CAMPO";"11.274";"11.274";"9.575";"1.699";"34";"34"
"SÃO FÉLIX";"9.781";"9.781";"8.710";"1.071";"37";"37"
"FREDERICO WESTPHALEN";"23.436";"23.436";"20.165";"3.271";"77";"77"
"TUPANDI";"3.535";"3.535";"3.359";"176";"10";"10"
"QUERÊNCIA";"9.548";"9.548";"7.811";"1.737";"24";"24"
"SOURE";"18.363";"18.363";"14.945";"3.418";"54";"54"
"CARIDADE";"15.145";"15.145";"13.279";"1.866";"62";"62"
"ÁGUAS DE LINDÓIA";"13.601";"13.601";"11.261";"2.340";"37";"37"
"ARCO-ÍRIS";"2.024";"2.024";"1.861";"163";"6";"6"
"LAGOA DA CONFUSÃO";"6.651";"6.651";"5.746";"905";"19";"19"
"QUITERIANÓPOLIS";"15.988";"15.988";"12.364";"3.624";"59";"59"
"SALGADO DE SÃO FÉLIX";"10.882";"10.882";"8.250";"2.632";"38";"38"
"PONTAL";"27.889";"27.889";"22.996";"4.893";"76";"76"
"CHIADOR";"3.187";"3.187";"2.915";"272";"12";"12"
"JOCA MARQUES";"4.402";"4.402";"3.516";"886";"17";"17"
"BRUNÓPOLIS";"2.833";"2.833";"2.697";"136";"12";"12"
"SERRINHA DOS PINTOS";"4.096";"4.096";"3.746";"350";"12";"12"
"AGUDOS";"28.143";"28.143";"23.245";"4.898";"80";"80"
"SANTA ROSA DE LIMA";"5.400";"5.400";"5.198";"202";"23";"23"
"BALNEÁRIO BARRA DO SUL";"8.151";"8.151";"7.059";"1.092";"22";"22"
"TAQUARITINGA DO NORTE";"18.780";"18.780";"16.632";"2.148";"56";"56"
"SERRANÓPOLIS";"5.583";"5.583";"4.991";"592";"16";"16"
"CATU";"37.468";"37.468";"32.674";"4.794";"113";"113"
"FAZENDA NOVA";"5.537";"5.537";"4.913";"624";"19";"19"
"PALMEIRÂNDIA";"16.135";"16.135";"13.108";"3.027";"48";"48"
"COXIXOLA";"1.658";"1.658";"1.552";"106";"5";"5"
"SANTO ANTÔNIO DO IÇÁ";"11.758";"11.758";"9.703";"2.055";"33";"33"
"CHÃ PRETA";"5.337";"5.337";"4.813";"524";"16";"16"
"CONCHAL";"19.954";"19.954";"17.156";"2.798";"48";"48"
"FREI LAGONEGRO";"3.331";"3.331";"3.062";"269";"11";"11"
"VARZELÂNDIA";"15.107";"15.107";"11.131";"3.976";"50";"50"
"BURITIRAMA";"14.910";"14.910";"11.474";"3.436";"49";"49"
"ITAPUCA";"1.963";"1.963";"1.824";"139";"9";"9"
"RONDINHA";"4.650";"4.650";"4.408";"242";"18";"18"
"VENTUROSA";"12.440";"12.440";"10.964";"1.476";"36";"36"
"AMPARO DE SÃO FRANCISCO";"2.291";"2.291";"2.253";"38";"9";"9"
"LINDÓIA";"5.323";"5.323";"4.652";"671";"16";"16"
"OURO PRETO";"57.465";"57.465";"49.098";"8.367";"180";"180"
"BERTOLÍNIA";"4.121";"4.121";"3.586";"535";"15";"15"
"ITAJU";"3.183";"3.183";"2.804";"379";"9";"9"
"NUPORANGA";"5.329";"5.329";"4.942";"387";"22";"22"
"CONCHAS";"13.735";"13.735";"10.737";"2.998";"34";"34"
"ASPÁSIA";"1.786";"1.786";"1.668";"118";"6";"6"
"PEDRO LEOPOLDO";"44.565";"44.565";"38.871";"5.694";"129";"129"
"MONTE SANTO DE MINAS";"16.894";"16.894";"13.800";"3.094";"45";"45"
"SENADOR CANEDO";"57.930";"57.930";"50.107";"7.823";"155";"155"
"ITARARÉ";"37.309";"37.309";"28.855";"8.454";"107";"107"
"NOVO ORIENTE";"21.809";"21.809";"16.438";"5.371";"69";"69"
"COUTO DE MAGALHÃES";"3.671";"3.671";"3.313";"358";"14";"14"
"LAGOA DOURADA";"9.408";"9.408";"8.554";"854";"29";"29"
"CAÇAPAVA";"66.418";"66.418";"54.544";"11.874";"183";"183"
"PRESIDENTE CASTELO BRANCO";"4.081";"4.081";"3.555";"526";"12";"12"
"PARELHAS";"16.634";"16.634";"14.781";"1.853";"49";"49"
"CRUZETA";"7.071";"7.071";"6.368";"703";"19";"19"
"URUTAÍ";"2.838";"2.838";"2.543";"295";"7";"7"
"CÂNDIDO MOTA";"24.574";"24.574";"19.886";"4.688";"63";"63"
"MATA VERDE";"5.426";"5.426";"5.149";"277";"18";"18"
"SÃO PAULO DAS MISSÕES";"5.284";"5.284";"4.943";"341";"28";"28"
"RIO ACIMA";"7.199";"7.199";"6.703";"496";"20";"20"
"CRISTAL";"6.285";"6.285";"5.534";"751";"18";"18"
"SANTA MARIA DE JETIBÁ";"25.613";"25.613";"23.192";"2.421";"76";"76"
"SANTA CRUZ DAS PALMEIRAS";"22.261";"22.261";"18.157";"4.104";"60";"60"
"CONTENDAS DO SINCORÁ";"3.470";"3.470";"3.157";"313";"12";"12"
"RIO BOM";"2.813";"2.813";"2.612";"201";"15";"15"
"IMARUÍ";"9.887";"9.887";"8.853";"1.034";"30";"30"
"VENHA-VER";"3.677";"3.677";"2.839";"838";"12";"12"
"MARTINÓPOLIS";"18.589";"18.589";"15.098";"3.491";"54";"54"
"GRANDES RIOS";"5.559";"5.559";"4.643";"916";"21";"21"
"RANCHO ALEGRE D'OESTE";"2.539";"2.539";"2.221";"318";"10";"10"
"POLONI";"4.599";"4.599";"3.958";"641";"13";"13"
"OSÓRIO";"33.108";"33.108";"28.414";"4.694";"100";"100"
"TRÊS LAGOAS";"69.820";"69.820";"57.006";"12.814";"199";"199"
"SALGADO FILHO";"3.699";"3.699";"3.334";"365";"16";"16"
"BACABEIRA";"11.737";"11.737";"10.665";"1.072";"36";"36"
"GUAJARÁ";"8.704";"8.704";"6.374";"2.330";"33";"33"
"IPORANGA";"3.623";"3.623";"2.936";"687";"10";"10"
"SANTO INÁCIO";"4.425";"4.425";"3.919";"506";"14";"14"
"ITÁ";"5.916";"5.916";"5.300";"616";"21";"21"
"SÃO GONÇALO DO PIAUÍ";"4.511";"4.511";"4.017";"494";"13";"13"
"ITAIÇABA";"6.139";"6.139";"5.612";"527";"22";"22"
"RIO SONO";"3.778";"3.778";"3.562";"216";"20";"20"
"CHAPADA GAÚCHA";"7.412";"7.412";"6.179";"1.233";"29";"29"
"MACAJUBA";"9.888";"9.888";"7.686";"2.202";"31";"31"
"CARMÓPOLIS";"12.423";"12.423";"11.639";"784";"37";"37"
"MIMOSO DE GOIÁS";"2.715";"2.715";"2.494";"221";"10";"10"
"IBATIBA";"17.499";"17.499";"14.742";"2.757";"46";"46"
"MIRASSOLÂNDIA";"3.600";"3.600";"3.183";"417";"10";"10"
"GUARACI";"12.899";"12.899";"11.240";"1.659";"37";"37"
"ZORTÉA";"2.646";"2.646";"2.549";"97";"9";"9"
"CANGUARETAMA";"23.818";"23.818";"19.783";"4.035";"72";"72"
"BELA CRUZ";"21.999";"21.999";"17.579";"4.420";"82";"82"
"TABAPORÃ";"6.796";"6.796";"5.331";"1.465";"19";"19"
"CARMO DA MATA";"9.179";"9.179";"8.213";"966";"32";"32"
"MACIEIRA";"1.911";"1.911";"1.826";"85";"7";"7"
"CAMPOS BELOS";"14.761";"14.761";"11.741";"3.020";"46";"46"
"OCARA";"20.505";"20.505";"19.249";"1.256";"68";"68"
"GOIANORTE";"3.846";"3.846";"3.451";"395";"15";"15"
"MOGI DAS CRUZES";"278.275";"278.275";"234.610";"43.665";"762";"762"
"BARÃO DE MONTE ALTO";"4.974";"4.974";"4.662";"312";"16";"16"
"SOBRADINHO";"28.301";"28.301";"24.416";"3.885";"94";"94"
"OEIRAS";"27.013";"27.013";"22.106";"4.907";"110";"110"
"RIBEIRÃO DOS ÍNDIOS";"2.079";"2.079";"1.932";"147";"6";"6"
"NOVO PLANALTO";"3.388";"3.388";"3.137";"251";"10";"10"
"AXIXÁ";"9.459";"9.459";"8.107";"1.352";"33";"33"
"SÃO LUÍS DO CURU";"11.429";"11.429";"10.414";"1.015";"33";"33"
"MUQUI";"10.766";"10.766";"9.696";"1.070";"36";"36"
"SUCUPIRA";"1.525";"1.525";"1.438";"87";"4";"4"
"OLIVEIRA FORTES";"2.065";"2.065";"1.936";"129";"8";"8"
"TIROS";"5.589";"5.589";"4.823";"766";"26";"26"
"CAÇAPAVA DO SUL";"26.536";"26.536";"23.056";"3.480";"93";"93"
"SATUBINHA";"5.286";"5.286";"4.278";"1.008";"20";"20"
"SERRA DA RAIZ";"2.547";"2.547";"2.235";"312";"9";"9"
"IMBÉ";"15.560";"15.560";"13.003";"2.557";"43";"43"
"CANDIOTA";"7.730";"7.730";"6.691";"1.039";"21";"21"
"MONÇÃO";"19.821";"19.821";"15.742";"4.079";"79";"79"
"SILVA JARDIM";"16.838";"16.838";"14.083";"2.755";"46";"46"
"PAU BRASIL";"7.205";"7.205";"5.926";"1.279";"20";"20"
"NOVA IBIÁ";"5.484";"5.484";"4.561";"923";"17";"17"
"IBIASSUCÊ";"8.698";"8.698";"7.199";"1.499";"29";"29"
"ROLÂNDIA";"44.638";"44.638";"37.418";"7.220";"130";"130"
"SABÁUDIA";"5.175";"5.175";"4.782";"393";"15";"15"
"JAQUEIRA";"9.281";"9.281";"7.272";"2.009";"26";"26"
"BREJÕES";"11.684";"11.684";"8.822";"2.862";"33";"33"
"FAXINAL DO SOTURNO";"5.561";"5.561";"4.996";"565";"21";"21"
"SÃO MIGUEL DO GUAMÁ";"34.075";"34.075";"28.464";"5.611";"118";"118"
"SÃO BENTO DO TOCANTINS";"3.988";"3.988";"3.612";"376";"11";"11"
"MIRANDÓPOLIS";"20.509";"20.509";"15.980";"4.529";"60";"60"
"RODEIRO";"5.527";"5.527";"4.950";"577";"15";"15"
"MACHADINHO DO OESTE";"22.925";"22.925";"17.237";"5.688";"75";"75"
"MOEDA";"4.945";"4.945";"4.336";"609";"17";"17"
"SÃO VICENTE";"255.181";"255.181";"212.097";"43.084";"705";"705"
"SOUSA";"47.216";"47.216";"39.247";"7.969";"160";"160"
"BARRA DE SANTA ROSA";"11.054";"11.054";"9.369";"1.685";"41";"41"
"COQUEIRO SECO";"4.104";"4.104";"3.933";"171";"15";"15"
"TAIAÇU";"4.844";"4.844";"4.220";"624";"12";"12"
"CORONEL SAPUCAIA";"9.815";"9.815";"8.031";"1.784";"37";"37"
"PIUM";"5.059";"5.059";"4.423";"636";"15";"15"
"NEVES PAULISTA";"7.524";"7.524";"6.538";"986";"22";"22"
"PERDÕES";"16.073";"16.073";"13.715";"2.358";"46";"46"
"IGARAPÉ";"25.010";"25.010";"21.209";"3.801";"77";"77"
"DORESÓPOLIS";"1.782";"1.782";"1.664";"118";"5";"5"
"BACABAL";"65.326";"65.326";"49.941";"15.385";"207";"207"
"ASSUNÇÃO";"3.410";"3.410";"3.073";"337";"9";"9"
"JUNDIAÍ";"257.151";"257.151";"231.720";"25.431";"820";"820"
"LORENA";"63.164";"63.164";"51.894";"11.270";"182";"182"
"ITACAMBIRA";"4.589";"4.589";"4.068";"521";"26";"26"
"ARAÇUAÍ";"28.015";"28.015";"19.370";"8.645";"86";"86"
"SÃO JOÃO DEL REI";"63.091";"63.091";"55.447";"7.644";"213";"213"
"MATO VERDE";"10.585";"10.585";"9.023";"1.562";"34";"34"
"QUIXABEIRA";"7.647";"7.647";"6.457";"1.190";"27";"27"
"PAULO BENTO";"2.041";"2.041";"1.949";"92";"10";"10"
"AFRÂNIO";"15.035";"15.035";"13.785";"1.250";"40";"40"
"AFONSO CUNHA";"5.347";"5.347";"4.510";"837";"20";"20"
"FORMOSA DA SERRA NEGRA";"11.210";"11.210";"10.044";"1.166";"33";"33"
"ALCÂNTARAS";"9.006";"9.006";"7.462";"1.544";"30";"30"
"PITIMBU";"10.412";"10.412";"9.038";"1.374";"31";"31"
"PINDORAMA DO TOCANTINS";"3.813";"3.813";"3.308";"505";"16";"16"
"CASCALHO RICO";"2.818";"2.818";"2.631";"187";"9";"9"
"CANDIBA";"10.235";"10.235";"9.123";"1.112";"32";"32"
"IPIRÁ";"42.481";"42.481";"34.768";"7.713";"154";"154"
"NOVA ROMA DO SUL";"2.959";"2.959";"2.810";"149";"8";"8"
"PARANACITY";"7.743";"7.743";"6.510";"1.233";"21";"21"
"LAGOA DO SÍTIO";"4.559";"4.559";"3.775";"784";"14";"14"
"SIMÕES";"11.498";"11.498";"9.648";"1.850";"38";"38"
"SÃO JOÃO DO CARÚ";"9.901";"9.901";"7.901";"2.000";"39";"39"
"SÃO PAULO";"8.619.170";"8.619.170";"7.026.448";"1.592.722";"23.684";"23.684"
"DORES DO TURVO";"4.868";"4.868";"4.391";"477";"17";"17"
"ALPESTRE";"6.449";"6.449";"5.959";"490";"28";"28"
"IPORÃ";"11.437";"11.437";"9.955";"1.482";"44";"44"
"JARDIM DO MULATO";"3.828";"3.828";"3.325";"503";"14";"14"
"SANTANA DO IPANEMA";"26.324";"26.324";"23.939";"2.385";"94";"94"
"TIRADENTES";"5.864";"5.864";"5.401";"463";"17";"17"
"CARMÉSIA";"2.171";"2.171";"1.926";"245";"10";"10"
"ENTRE RIOS DO SUL";"2.824";"2.824";"2.671";"153";"8";"8"
"IMBITUBA";"32.769";"32.769";"27.829";"4.940";"87";"87"
"CELSO RAMOS";"2.173";"2.173";"2.147";"26";"7";"7"
"PIRACAIA";"20.766";"20.766";"16.572";"4.194";"54";"54"
"VIRADOURO";"13.846";"13.846";"12.028";"1.818";"40";"40"
"SÃO JOSÉ DA LAGOA TAPADA";"6.427";"6.427";"5.451";"976";"23";"23"
"SOBRADO";"6.782";"6.782";"5.571";"1.211";"22";"22"
"GUAPIARA";"15.822";"15.822";"11.655";"4.167";"48";"48"
"BELO VALE";"7.732";"7.732";"6.921";"811";"26";"26"
"ITAJÁ";"11.193";"11.193";"9.939";"1.254";"34";"34"
"PEROLÂNDIA";"3.097";"3.097";"2.744";"353";"8";"8"
"CACHOEIRA ALTA";"7.162";"7.162";"6.052";"1.110";"27";"27"
"SANTA LUZIA DO PARÁ";"15.315";"15.315";"12.826";"2.489";"54";"54"
"SÃO VICENTE DO SERIDÓ";"8.156";"8.156";"6.666";"1.490";"26";"26"
"CANDEIAS";"69.813";"69.813";"60.165";"9.648";"214";"214"
"ESCADA";"48.505";"48.505";"40.281";"8.224";"154";"154"
"BOA HORA";"5.623";"5.623";"4.512";"1.111";"16";"16"
"VOTUPORANGA";"66.233";"66.233";"53.698";"12.535";"181";"181"
"SANTO ANTÔNIO DO JARDIM";"5.459";"5.459";"4.706";"753";"15";"15"
"SÃO SEBASTIÃO DO PARAÍSO";"47.950";"47.950";"39.340";"8.610";"132";"132"
"PARAISÓPOLIS";"15.626";"15.626";"13.201";"2.425";"46";"46"
"JOÃO NEIVA";"13.368";"13.368";"11.320";"2.048";"42";"42"
"BANANAL";"8.245";"8.245";"6.959";"1.286";"22";"22"
"UBAÍ";"8.646";"8.646";"7.715";"931";"41";"41"
"SENHORA DO PORTO";"3.127";"3.127";"2.790";"337";"11";"11"
"SÃO JOÃO DE MERITI";"357.963";"357.963";"297.875";"60.088";"1.011";"1.011"
"RIO DAS OSTRAS";"71.538";"71.538";"58.487";"13.051";"189";"189"
"LAJE DO MURIAÉ";"7.016";"7.016";"6.075";"941";"21";"21"
"ITAPARICA";"15.756";"15.756";"13.003";"2.753";"48";"48"
"RODEIO BONITO";"4.704";"4.704";"4.434";"270";"17";"17"
"PONTÃO";"3.299";"3.299";"3.136";"163";"12";"12"
"BOA ESPERANÇA DO IGUAÇU";"2.486";"2.486";"2.265";"221";"9";"9"
"TELHA";"2.815";"2.815";"2.750";"65";"11";"11"
"SÃO MIGUEL DO PASSA QUATRO";"3.681";"3.681";"3.407";"274";"10";"10"
"MATRINCHÃ";"4.072";"4.072";"3.567";"505";"11";"11"
"ÁGUA BOA";"26.670";"26.670";"21.182";"5.488";"85";"85"
"TABAPUÃ";"9.120";"9.120";"8.088";"1.032";"24";"24"
"CANANÉIA";"10.237";"10.237";"7.824";"2.413";"33";"33"
"ENVIRA";"10.401";"10.401";"7.408";"2.993";"31";"31"
"SENADOR RUI PALMEIRA";"7.517";"7.517";"6.708";"809";"26";"26"
"SANTA LUZ";"4.425";"4.425";"3.889";"536";"16";"16"
"MONTANHAS";"9.441";"9.441";"7.567";"1.874";"32";"32"
"CABIXI";"5.406";"5.406";"4.379";"1.027";"20";"20"
"MOGI MIRIM";"65.230";"65.230";"53.370";"11.860";"163";"163"
"URUPÁ";"9.859";"9.859";"7.821";"2.038";"32";"32"
"MAIRI";"14.143";"14.143";"11.588";"2.555";"52";"52"
"BOZANO";"2.302";"2.302";"2.196";"106";"9";"9"
"PRESIDENTE LUCENA";"2.228";"2.228";"2.160";"68";"8";"8"
"ASSAÍ";"13.077";"13.077";"11.311";"1.766";"48";"48"
"SÃO LOURENÇO DO PIAUÍ";"4.324";"4.324";"3.629";"695";"16";"16"
"MUCURI";"26.321";"26.321";"20.158";"6.163";"79";"79"
"JURANDA";"5.903";"5.903";"5.391";"512";"23";"23"
"MAMANGUAPE";"31.773";"31.773";"25.461";"6.312";"102";"102"
"SERRA GRANDE";"2.713";"2.713";"2.325";"388";"8";"8"
"SANTA RITA DO SAPUCAÍ";"28.110";"28.110";"23.411";"4.699";"81";"81"
"SANTOS DUMONT";"38.531";"38.531";"31.942";"6.589";"122";"122"
"RIO PARDO DE MINAS";"20.073";"20.073";"16.247";"3.826";"79";"79"
"PORTO VITÓRIA";"3.226";"3.226";"2.886";"340";"12";"12"
"MALTA";"4.677";"4.677";"4.087";"590";"15";"15"
"SANTA LEOPOLDINA";"10.717";"10.717";"9.191";"1.526";"37";"37"
"IBIQUERA";"3.376";"3.376";"2.927";"449";"11";"11"
"AIQUARA";"4.574";"4.574";"3.707";"867";"14";"14"
"JARI";"3.230";"3.230";"2.973";"257";"16";"16"
"PORTO VELHO";"278.410";"278.410";"248.707";"29.703";"867";"867"
"JOÃO COSTA";"2.949";"2.949";"2.566";"383";"10";"10"
"CASTELÂNDIA";"3.775";"3.775";"3.204";"571";"15";"15"
"ALAGOA NOVA";"15.549";"15.549";"12.269";"3.280";"48";"48"
"ANGÉLICA";"7.352";"7.352";"6.411";"941";"21";"21"
"GUARAPARI";"82.647";"82.647";"66.935";"15.712";"256";"256"
"SÃO JOSÉ DE UBÁ";"6.870";"6.870";"6.295";"575";"22";"22"
"TIJUCAS DO SUL";"11.198";"11.198";"9.885";"1.313";"36";"36"
"BURITICUPU";"40.101";"40.101";"31.645";"8.456";"145";"145"
"MARATAÍZES";"25.809";"25.809";"21.319";"4.490";"79";"79"
"ATALAIA DO NORTE";"6.066";"6.066";"4.899";"1.167";"19";"19"
"MIRABELA";"10.991";"10.991";"9.030";"1.961";"34";"34"
