"Abrangência";"Qt Aptos";"Qt Aptos Totalizados";"Comparecimento";"Abstenção";"Qt Seções";"Qt Seções Totalizadas"
"ÁGUAS VERMELHAS";"10.294";"10.294";"7.882";"2.412";"29";"29"
"DEZESSEIS DE NOVEMBRO";"2.518";"2.518";"2.353";"165";"11";"11"
"COLINAS DO SUL";"3.615";"3.615";"3.079";"536";"10";"10"
"SÃO PEDRO DA ÁGUA BRANCA";"8.909";"8.909";"7.031";"1.878";"25";"25"
"NOVA GRANADA";"15.084";"15.084";"12.789";"2.295";"42";"42"
"ALFENAS";"56.002";"56.002";"45.534";"10.468";"159";"159"
"PALMÓPOLIS";"6.383";"6.383";"4.771";"1.612";"19";"19"
"VALE DO PARAÍSO";"6.916";"6.916";"5.812";"1.104";"22";"22"
"ITAUBAL";"4.622";"4.622";"4.020";"602";"15";"15"
"ILHABELA";"21.591";"21.591";"17.689";"3.902";"65";"65"
"IARAS";"3.996";"3.996";"3.226";"770";"14";"14"
"MEDINA";"15.810";"15.810";"12.726";"3.084";"52";"52"
"RIBEIRA DO AMPARO";"11.323";"11.323";"9.043";"2.280";"39";"39"
"VARZEDO";"7.201";"7.201";"6.586";"615";"25";"25"
"PERI MIRIM";"10.910";"10.910";"9.001";"1.909";"31";"31"
"CASSERENGUE";"5.964";"5.964";"4.561";"1.403";"20";"20"
"ESPIGÃO DO OESTE";"21.175";"21.175";"17.045";"4.130";"73";"73"
"OURO BRANCO";"38.493";"38.493";"33.757";"4.736";"119";"119"
"NAVEGANTES";"39.730";"39.730";"33.597";"6.133";"106";"106"
"VIADUTOS";"4.290";"4.290";"4.083";"207";"15";"15"
"SANTA CRUZ DA BAIXA VERDE";"9.685";"9.685";"8.233";"1.452";"32";"32"
"POTIRAGUÁ";"8.969";"8.969";"6.777";"2.192";"30";"30"
"DOM FELICIANO";"10.876";"10.876";"9.547";"1.329";"33";"33"
"TUNAS DO PARANÁ";"4.734";"4.734";"4.270";"464";"15";"15"
"CIDADE GAÚCHA";"8.969";"8.969";"7.855";"1.114";"26";"26"
"SANTARÉM NOVO";"5.872";"5.872";"5.275";"597";"20";"20"
"SÃO SEBASTIÃO";"77.096";"77.096";"65.252";"11.844";"225";"225"
"ALAMBARI";"4.004";"4.004";"3.684";"320";"13";"13"
"JACOBINA";"53.637";"53.637";"44.140";"9.497";"174";"174"
"DILERMANDO DE AGUIAR";"3.158";"3.158";"2.865";"293";"13";"13"
"IBIAM";"1.809";"1.809";"1.757";"52";"6";"6"
"GUAREÍ";"8.920";"8.920";"7.453";"1.467";"27";"27"
"AVANHANDAVA";"7.687";"7.687";"6.476";"1.211";"23";"23"
"CERQUEIRA CÉSAR";"13.695";"13.695";"10.925";"2.770";"37";"37"
"TIMÓTEO";"59.105";"59.105";"49.098";"10.007";"164";"164"
"MANSIDÃO";"9.458";"9.458";"7.725";"1.733";"35";"35"
"TORITAMA";"25.564";"25.564";"23.036";"2.528";"65";"65"
"MONTE ALEGRE DO PIAUÍ";"8.001";"8.001";"6.606";"1.395";"35";"35"
"NOVA SANTA RITA";"20.594";"20.594";"17.907";"2.687";"61";"61"
"RECURSOLÂNDIA";"2.917";"2.917";"2.528";"389";"9";"9"
"PROMISSÃO";"27.395";"27.395";"22.122";"5.273";"70";"70"
"CÂNDIDO RODRIGUES";"2.587";"2.587";"2.404";"183";"7";"7"
"SOBRAL";"131.417";"131.417";"112.654";"18.763";"405";"405"
"ROLANTE";"15.305";"15.305";"13.943";"1.362";"47";"47"
"ESTRELA D'OESTE";"6.826";"6.826";"5.942";"884";"20";"20"
"DOUTOR CAMARGO";"5.015";"5.015";"4.501";"514";"17";"17"
"NOVA OLÍMPIA";"16.875";"16.875";"14.204";"2.671";"47";"47"
"MOMBAÇA";"33.437";"33.437";"25.958";"7.479";"124";"124"
"CABEDELO";"36.623";"36.623";"32.729";"3.894";"120";"120"
"OURO VELHO";"2.671";"2.671";"2.469";"202";"12";"12"
"CONCEIÇÃO DO RIO VERDE";"9.972";"9.972";"8.201";"1.771";"35";"35"
"ALPINÓPOLIS";"14.643";"14.643";"12.615";"2.028";"42";"42"
"ITACARAMBI";"13.556";"13.556";"10.317";"3.239";"45";"45"
"SANTO ANTÔNIO DO ITAMBÉ";"3.837";"3.837";"2.865";"972";"11";"11"
"MARINGÁ";"256.970";"256.970";"210.770";"46.200";"703";"703"
"PORTO SEGURO";"79.016";"79.016";"62.078";"16.938";"211";"211"
"SÃO FRANCISCO";"47.764";"47.764";"36.791";"10.973";"167";"167"
"ARICANDUVA";"4.374";"4.374";"3.620";"754";"13";"13"
"PIRES FERREIRA";"7.565";"7.565";"6.318";"1.247";"29";"29"
"ANITÁPOLIS";"2.850";"2.850";"2.693";"157";"13";"13"
"BREJO DOS SANTOS";"5.354";"5.354";"4.871";"483";"20";"20"
"BALDIM";"6.707";"6.707";"5.918";"789";"23";"23"
"SÃO MIGUEL DO TAPUIO";"15.609";"15.609";"11.761";"3.848";"51";"51"
"ARÊS";"10.200";"10.200";"9.399";"801";"32";"32"
"BENEVIDES";"35.248";"35.248";"30.385";"4.863";"93";"93"
"TAUBATÉ";"215.151";"215.151";"174.213";"40.938";"569";"569"
"PIRAJUÍ";"15.749";"15.749";"12.512";"3.237";"48";"48"
"GONZAGA";"4.476";"4.476";"3.839";"637";"17";"17"
"RIBEIRÃO DO LARGO";"8.961";"8.961";"7.098";"1.863";"26";"26"
"LAJEDO";"26.216";"26.216";"23.170";"3.046";"78";"78"
"BOM PRINCÍPIO DO PIAUÍ";"5.800";"5.800";"4.914";"886";"19";"19"
"SANTA ISABEL DO PARÁ";"38.280";"38.280";"33.212";"5.068";"113";"113"
"RERIUTABA";"16.226";"16.226";"12.441";"3.785";"66";"66"
"BEBEDOURO";"57.154";"57.154";"45.588";"11.566";"152";"152"
"ALEXÂNIA";"16.189";"16.189";"14.583";"1.606";"52";"52"
"VITORINO FREIRE";"23.462";"23.462";"18.325";"5.137";"81";"81"
"DOUTOR RICARDO";"2.125";"2.125";"2.012";"113";"8";"8"
"SÃO JOSÉ DO HERVAL";"2.258";"2.258";"2.082";"176";"9";"9"
"VÁRZEA BRANCA";"3.943";"3.943";"3.257";"686";"15";"15"
"NOVA SERRANA";"43.652";"43.652";"37.532";"6.120";"121";"121"
"GANDU";"19.463";"19.463";"16.448";"3.015";"71";"71"
"EUCLIDES DA CUNHA";"39.301";"39.301";"31.798";"7.503";"134";"134"
"SÃO JOSÉ DAS MISSÕES";"2.501";"2.501";"2.427";"74";"6";"6"
"IBICUITINGA";"11.693";"11.693";"11.064";"629";"43";"43"
"SANTA CRUZ DO XINGU";"1.591";"1.591";"1.315";"276";"5";"5"
"SANTA LUZIA DO NORTE";"4.982";"4.982";"4.759";"223";"16";"16"
"VOLTA GRANDE";"4.421";"4.421";"3.753";"668";"16";"16"
"JITAÚNA";"14.686";"14.686";"10.521";"4.165";"43";"43"
"SÃO JOÃO DO SUL";"6.248";"6.248";"6.033";"215";"18";"18"
"SÃO JOÃO DA CANABRAVA";"4.340";"4.340";"3.770";"570";"15";"15"
"JESÚPOLIS";"2.607";"2.607";"2.359";"248";"7";"7"
"ARNEIROZ";"6.696";"6.696";"5.626";"1.070";"25";"25"
"IVINHEMA";"16.783";"16.783";"14.906";"1.877";"54";"54"
"ANDRADINA";"43.568";"43.568";"34.683";"8.885";"129";"129"
"SANTA MARIA DA SERRA";"4.097";"4.097";"3.632";"465";"11";"11"
"IGUABA GRANDE";"20.836";"20.836";"17.432";"3.404";"64";"64"
"SÃO BENEDITO";"37.782";"37.782";"27.746";"10.036";"130";"130"
"TRAIRI";"39.268";"39.268";"31.687";"7.581";"144";"144"
"DARCINÓPOLIS";"3.731";"3.731";"3.207";"524";"13";"13"
"SANTANA DO PARAÍSO";"16.073";"16.073";"13.592";"2.481";"48";"48"
"NOVO BARREIRO";"3.619";"3.619";"3.435";"184";"10";"10"
"FAXINALZINHO";"2.347";"2.347";"2.231";"116";"8";"8"
"CAJURU";"18.201";"18.201";"15.006";"3.195";"49";"49"
"SANTANA DO LIVRAMENTO";"70.311";"70.311";"52.882";"17.429";"198";"198"
"ICHU";"4.803";"4.803";"4.526";"277";"16";"16"
"EXTREMOZ";"19.169";"19.169";"17.825";"1.344";"62";"62"
"PEDREGULHO";"13.764";"13.764";"11.307";"2.457";"40";"40"
"CAMPOS GERAIS";"20.415";"20.415";"16.945";"3.470";"57";"57"
"SANTA CECÍLIA";"18.601";"18.601";"15.560";"3.041";"54";"54"
"GUARANIAÇU";"11.595";"11.595";"10.120";"1.475";"54";"54"
"CORBÉLIA";"13.236";"13.236";"11.913";"1.323";"43";"43"
"SANTA CECÍLIA DO PAVÃO";"3.095";"3.095";"2.862";"233";"14";"14"
"CAFEARA";"2.083";"2.083";"1.984";"99";"7";"7"
"JENIPAPO DOS VIEIRAS";"11.083";"11.083";"9.181";"1.902";"52";"52"
"PORTO DE MOZ";"17.785";"17.785";"15.033";"2.752";"56";"56"
"COLÍDER";"22.713";"22.713";"18.396";"4.317";"64";"64"
"AXIXÁ DO TOCANTINS";"8.672";"8.672";"7.204";"1.468";"34";"34"
"AMPARO";"53.539";"53.539";"44.074";"9.465";"154";"154"
"ITAOBIM";"16.939";"16.939";"12.359";"4.580";"53";"53"
"MANTENA";"18.855";"18.855";"15.810";"3.045";"62";"62"
"AGUIAR";"4.640";"4.640";"3.908";"732";"17";"17"
"VERTENTES";"14.506";"14.506";"12.797";"1.709";"43";"43"
"MELEIRO";"5.766";"5.766";"5.306";"460";"16";"16"
"PARAIBANO";"15.189";"15.189";"10.899";"4.290";"41";"41"
"OURILÂNDIA DO NORTE";"21.837";"21.837";"17.519";"4.318";"67";"67"
"PONTA DE PEDRAS";"17.142";"17.142";"14.728";"2.414";"55";"55"
"MARICÁ";"84.582";"84.582";"69.610";"14.972";"232";"232"
"IPABA";"13.244";"13.244";"11.287";"1.957";"40";"40"
"GUAMIRANGA";"6.425";"6.425";"5.805";"620";"21";"21"
"ENCRUZILHADA";"16.212";"16.212";"11.939";"4.273";"51";"51"
"LUZ";"14.537";"14.537";"11.994";"2.543";"45";"45"
"CÓRREGO FUNDO";"4.944";"4.944";"4.570";"374";"14";"14"
"GEMINIANO";"5.241";"5.241";"4.734";"507";"16";"16"
